LA_Name,LA_Code
Camden,E09000007
City of London,E09000001
Hackney,E09000012
Hammersmith and Fulham,E09000013
Haringey,E09000014
Islington,E09000019
Kensington and Chelsea,E09000020
Lambeth,E09000022
Lewisham,E09000023
Newham,E09000025
Southwark,E09000028
Tower Hamlets,E09000030
Wandsworth,E09000032
Westminster,E09000033
Barking and Dagenham,E09000002
Barnet,E09000003
Bexley,E09000004
Brent,E09000005
Bromley,E09000006
Croydon,E09000008
Ealing,E09000009
Enfield,E09000010
Greenwich,E09000011
Harrow,E09000015
Havering,E09000016
Hillingdon,E09000017
Hounslow,E09000018
Kingston upon Thames,E09000021
Merton,E09000024
Redbridge,E09000026
Richmond upon Thames,E09000027
Sutton,E09000029
Waltham Forest,E09000031
